name,environment,context,parallelism,time
1,native,openmp,8,22985
2,docker,mpi-high-comm,8,10459
5,native,mpi,8,11349
6,docker,openmp,8,20725
8,singularity,mpi,8,10635
9,singularity,openmp,8,21093
14,native,mpi-high-comm,8,11909
23,docker,mpi,8,10924
24,singularity,mpi-high-comm,8,11137
36,singularity,openmp,8,20574
41,singularity,mpi,8,10664
42,native,mpi,8,11702
43,native,openmp,8,23387
44,native,mpi-high-comm,8,11354
45,docker,mpi,8,10470
46,singularity,mpi-high-comm,8,10402
47,docker,openmp,8,20808
50,docker,mpi-high-comm,8,10757
55,native,openmp,8,22730
57,docker,openmp,8,20779
60,singularity,openmp,8,20609
64,singularity,mpi,8,10648
66,docker,mpi-high-comm,8,10942
67,native,mpi-high-comm,8,11407
71,native,mpi,8,11428
74,docker,mpi,8,10576
81,singularity,mpi-high-comm,8,10431
83,docker,openmp,8,20806
86,docker,mpi-high-comm,8,10976
87,native,mpi,8,11352
88,singularity,mpi-high-comm,8,10416
91,docker,mpi,8,10752
93,native,mpi-high-comm,8,11458
100,singularity,mpi,8,10651
102,singularity,openmp,8,20558
106,native,openmp,8,22831
109,singularity,openmp,8,20592
110,native,openmp,8,22716
111,native,mpi-high-comm,8,11465
114,docker,mpi-high-comm,8,10774
115,docker,mpi,8,10843
116,singularity,mpi-high-comm,8,10448
125,native,mpi,8,11422
128,docker,openmp,8,20825
131,singularity,mpi,8,10698
137,native,mpi-high-comm,8,11403
140,docker,mpi,8,10769
141,singularity,mpi-high-comm,8,10557
144,singularity,openmp,8,20572
146,singularity,mpi,8,10665
149,native,openmp,8,22708
150,native,mpi,8,11478
153,docker,openmp,8,20907
158,docker,mpi-high-comm,8,10693
163,native,mpi,8,11545
164,singularity,mpi-high-comm,8,10515
170,native,openmp,8,22695
171,docker,openmp,8,20728
174,singularity,mpi,8,10713
175,singularity,openmp,8,20581
181,docker,mpi-high-comm,8,10744
184,native,mpi-high-comm,8,11541
189,docker,mpi,8,10814
190,native,mpi-high-comm,8,11347
201,docker,mpi,8,10794
202,singularity,mpi-high-comm,8,10406
207,docker,mpi-high-comm,8,10563
209,singularity,openmp,8,20569
210,native,openmp,8,22722
212,docker,openmp,8,20768
214,native,mpi,8,11456
215,singularity,mpi,8,10589
224,native,mpi-high-comm,8,11361
225,singularity,mpi-high-comm,8,10410
229,native,openmp,8,22713
231,native,mpi,8,11347
236,docker,openmp,8,20816
238,singularity,openmp,8,20558
239,singularity,mpi,8,10758
240,docker,mpi-high-comm,8,10940
242,docker,mpi,8,10762
245,docker,openmp,8,20859
248,native,openmp,8,22707
250,singularity,openmp,8,20544
252,native,mpi,8,11708
255,docker,mpi,8,10832
259,singularity,mpi,8,10598
260,native,mpi-high-comm,8,11549
263,singularity,mpi-high-comm,8,10398
264,docker,mpi-high-comm,8,10886
