name,run.no.in.std.order,run.no,run.no.std.rp,environment,context,parallelism,Blocks,time
1,24,22,24.1,native,mpi,64,.1,
2,23,25,23.1,singularity,mpi,64,.1,
3,22,34,22.2,docker,mpi,64,.2,
4,23,51,23.2,singularity,mpi,64,.2,
5,24,58,24.3,native,mpi,64,.3,
6,22,76,22.3,docker,mpi,64,.3,
7,24,22,24.1,native,mpi,64,.1,
8,23,25,23.1,singularity,mpi,64,.1,
9,22,34,22.2,docker,mpi,64,.2,
10,23,51,23.2,singularity,mpi,64,.2,
11,24,58,24.3,native,mpi,64,.3,
12,22,76,22.3,docker,mpi,64,.3,
13,24,22,24.1,native,mpi,64,.1,
14,23,25,23.1,singularity,mpi,64,.1,
15,22,34,22.2,docker,mpi,64,.2,
16,23,51,23.2,singularity,mpi,64,.2,
17,24,58,24.3,native,mpi,64,.3,
18,22,76,22.3,docker,mpi,64,.3,
19,24,22,24.1,native,mpi,64,.1,
20,23,25,23.1,singularity,mpi,64,.1,
21,22,34,22.2,docker,mpi,64,.2,
22,23,51,23.2,singularity,mpi,64,.2,
23,24,58,24.3,native,mpi,64,.3,
24,22,76,22.3,docker,mpi,64,.3,
25,24,22,24.1,native,mpi,64,.1,
26,23,25,23.1,singularity,mpi,64,.1,
27,22,34,22.2,docker,mpi,64,.2,
28,23,51,23.2,singularity,mpi,64,.2,
29,24,58,24.3,native,mpi,64,.3,
30,22,76,22.3,docker,mpi,64,.3,
