name,run.no.in.std.order,run.no,run.no.std.rp,environment,context,parallelism,Blocks,time
1,12,1,12.1,native,openmp,8,.1,
2,16,2,16.1,docker,mpi-high-comm,8,.1,
5,15,5,15.1,native,mpi,8,.1,
6,10,6,10.1,docker,openmp,8,.1,
8,14,8,14.1,singularity,mpi,8,.1,
9,11,9,11.1,singularity,openmp,8,.1,
14,18,14,18.1,native,mpi-high-comm,8,.1,
23,13,23,13.1,docker,mpi,8,.1,
24,17,24,17.1,singularity,mpi-high-comm,8,.1,
36,11,36,11.2,singularity,openmp,8,.2,
41,14,41,14.2,singularity,mpi,8,.2,
42,15,42,15.2,native,mpi,8,.2,
43,12,43,12.2,native,openmp,8,.2,
44,18,44,18.2,native,mpi-high-comm,8,.2,
45,13,45,13.2,docker,mpi,8,.2,
46,17,46,17.2,singularity,mpi-high-comm,8,.2,
47,10,47,10.2,docker,openmp,8,.2,
50,16,50,16.2,docker,mpi-high-comm,8,.2,
55,12,55,12.3,native,openmp,8,.3,
57,10,57,10.3,docker,openmp,8,.3,
60,11,60,11.3,singularity,openmp,8,.3,
64,14,64,14.3,singularity,mpi,8,.3,
66,16,66,16.3,docker,mpi-high-comm,8,.3,
67,18,67,18.3,native,mpi-high-comm,8,.3,
71,15,71,15.3,native,mpi,8,.3,
74,13,74,13.3,docker,mpi,8,.3,
81,17,81,17.3,singularity,mpi-high-comm,8,.3,
83,10,83,10.4,docker,openmp,8,.4,
86,16,86,16.4,docker,mpi-high-comm,8,.4,
87,15,87,15.4,native,mpi,8,.4,
88,17,88,17.4,singularity,mpi-high-comm,8,.4,
91,13,91,13.4,docker,mpi,8,.4,
93,18,93,18.4,native,mpi-high-comm,8,.4,
100,14,100,14.4,singularity,mpi,8,.4,
102,11,102,11.4,singularity,openmp,8,.4,
106,12,106,12.4,native,openmp,8,.4,
109,11,109,11.5,singularity,openmp,8,.5,
110,12,110,12.5,native,openmp,8,.5,
111,18,111,18.5,native,mpi-high-comm,8,.5,
114,16,114,16.5,docker,mpi-high-comm,8,.5,
115,13,115,13.5,docker,mpi,8,.5,
116,17,116,17.5,singularity,mpi-high-comm,8,.5,
125,15,125,15.5,native,mpi,8,.5,
128,10,128,10.5,docker,openmp,8,.5,
131,14,131,14.5,singularity,mpi,8,.5,
137,18,137,18.6,native,mpi-high-comm,8,.6,
140,13,140,13.6,docker,mpi,8,.6,
141,17,141,17.6,singularity,mpi-high-comm,8,.6,
144,11,144,11.6,singularity,openmp,8,.6,
146,14,146,14.6,singularity,mpi,8,.6,
149,12,149,12.6,native,openmp,8,.6,
150,15,150,15.6,native,mpi,8,.6,
153,10,153,10.6,docker,openmp,8,.6,
158,16,158,16.6,docker,mpi-high-comm,8,.6,
163,15,163,15.7,native,mpi,8,.7,
164,17,164,17.7,singularity,mpi-high-comm,8,.7,
170,12,170,12.7,native,openmp,8,.7,
171,10,171,10.7,docker,openmp,8,.7,
174,14,174,14.7,singularity,mpi,8,.7,
175,11,175,11.7,singularity,openmp,8,.7,
181,16,181,16.7,docker,mpi-high-comm,8,.7,
184,18,184,18.7,native,mpi-high-comm,8,.7,
189,13,189,13.7,docker,mpi,8,.7,
190,18,190,18.8,native,mpi-high-comm,8,.8,
201,13,201,13.8,docker,mpi,8,.8,
202,17,202,17.8,singularity,mpi-high-comm,8,.8,
207,16,207,16.8,docker,mpi-high-comm,8,.8,
209,11,209,11.8,singularity,openmp,8,.8,
210,12,210,12.8,native,openmp,8,.8,
212,10,212,10.8,docker,openmp,8,.8,
214,15,214,15.8,native,mpi,8,.8,
215,14,215,14.8,singularity,mpi,8,.8,
224,18,224,18.9,native,mpi-high-comm,8,.9,
225,17,225,17.9,singularity,mpi-high-comm,8,.9,
229,12,229,12.9,native,openmp,8,.9,
231,15,231,15.9,native,mpi,8,.9,
236,10,236,10.9,docker,openmp,8,.9,
238,11,238,11.9,singularity,openmp,8,.9,
239,14,239,14.9,singularity,mpi,8,.9,
240,16,240,16.9,docker,mpi-high-comm,8,.9,
242,13,242,13.9,docker,mpi,8,.9,
245,10,245,10.10,docker,openmp,8,.10,
248,12,248,12.10,native,openmp,8,.10,
250,11,250,11.10,singularity,openmp,8,.10,
252,15,252,15.10,native,mpi,8,.10,
255,13,255,13.10,docker,mpi,8,.10,
259,14,259,14.10,singularity,mpi,8,.10,
260,18,260,18.10,native,mpi-high-comm,8,.10,
263,17,263,17.10,singularity,mpi-high-comm,8,.10,
264,16,264,16.10,docker,mpi-high-comm,8,.10,
