name,run.no.in.std.order,run.no,run.no.std.rp,environment,context,parallelism,Blocks,time
1,12,1,12.1,native,openmp,4,.1,
2,16,2,16.1,docker,mpi-high-comm,4,.1,
4,22,4,22.1,docker,mpi,16,.1,
5,15,5,15.1,native,mpi,4,.1,
6,10,6,10.1,docker,openmp,4,.1,
8,14,8,14.1,singularity,mpi,4,.1,
9,11,9,11.1,singularity,openmp,4,.1,
10,21,10,21.1,native,openmp,16,.1,
11,20,11,20.1,singularity,openmp,16,.1,
13,25,13,25.1,docker,mpi-high-comm,16,.1,
14,18,14,18.1,native,mpi-high-comm,4,.1,
17,26,17,26.1,singularity,mpi-high-comm,16,.1,
21,27,21,27.1,native,mpi-high-comm,16,.1,
22,24,22,24.1,native,mpi,16,.1,
23,13,23,13.1,docker,mpi,4,.1,
24,17,24,17.1,singularity,mpi-high-comm,4,.1,
25,23,25,23.1,singularity,mpi,16,.1,
26,19,26,19.1,docker,openmp,16,.1,
28,25,28,25.2,docker,mpi-high-comm,16,.2,
31,19,31,19.2,docker,openmp,16,.2,
32,20,32,20.2,singularity,openmp,16,.2,
34,22,34,22.2,docker,mpi,16,.2,
35,26,35,26.2,singularity,mpi-high-comm,16,.2,
36,11,36,11.2,singularity,openmp,4,.2,
37,21,37,21.2,native,openmp,16,.2,
38,24,38,24.2,native,mpi,16,.2,
41,14,41,14.2,singularity,mpi,4,.2,
42,15,42,15.2,native,mpi,4,.2,
43,12,43,12.2,native,openmp,4,.2,
44,18,44,18.2,native,mpi-high-comm,4,.2,
45,13,45,13.2,docker,mpi,4,.2,
46,17,46,17.2,singularity,mpi-high-comm,4,.2,
47,10,47,10.2,docker,openmp,4,.2,
48,27,48,27.2,native,mpi-high-comm,16,.2,
50,16,50,16.2,docker,mpi-high-comm,4,.2,
51,23,51,23.2,singularity,mpi,16,.2,
55,12,55,12.3,native,openmp,4,.3,
56,25,56,25.3,docker,mpi-high-comm,16,.3,
57,10,57,10.3,docker,openmp,4,.3,
58,24,58,24.3,native,mpi,16,.3,
60,11,60,11.3,singularity,openmp,4,.3,
62,23,62,23.3,singularity,mpi,16,.3,
64,14,64,14.3,singularity,mpi,4,.3,
65,26,65,26.3,singularity,mpi-high-comm,16,.3,
66,16,66,16.3,docker,mpi-high-comm,4,.3,
67,18,67,18.3,native,mpi-high-comm,4,.3,
69,20,69,20.3,singularity,openmp,16,.3,
71,15,71,15.3,native,mpi,4,.3,
72,27,72,27.3,native,mpi-high-comm,16,.3,
74,13,74,13.3,docker,mpi,4,.3,
75,19,75,19.3,docker,openmp,16,.3,
76,22,76,22.3,docker,mpi,16,.3,
80,21,80,21.3,native,openmp,16,.3,
81,17,81,17.3,singularity,mpi-high-comm,4,.3,
82,21,82,21.4,native,openmp,16,.4,
83,10,83,10.4,docker,openmp,4,.4,
85,25,85,25.4,docker,mpi-high-comm,16,.4,
86,16,86,16.4,docker,mpi-high-comm,4,.4,
87,15,87,15.4,native,mpi,4,.4,
88,17,88,17.4,singularity,mpi-high-comm,4,.4,
89,26,89,26.4,singularity,mpi-high-comm,16,.4,
91,13,91,13.4,docker,mpi,4,.4,
92,27,92,27.4,native,mpi-high-comm,16,.4,
93,18,93,18.4,native,mpi-high-comm,4,.4,
95,24,95,24.4,native,mpi,16,.4,
97,20,97,20.4,singularity,openmp,16,.4,
98,23,98,23.4,singularity,mpi,16,.4,
100,14,100,14.4,singularity,mpi,4,.4,
101,22,101,22.4,docker,mpi,16,.4,
102,11,102,11.4,singularity,openmp,4,.4,
103,19,103,19.4,docker,openmp,16,.4,
106,12,106,12.4,native,openmp,4,.4,
109,11,109,11.5,singularity,openmp,4,.5,
110,12,110,12.5,native,openmp,4,.5,
111,18,111,18.5,native,mpi-high-comm,4,.5,
112,23,112,23.5,singularity,mpi,16,.5,
114,16,114,16.5,docker,mpi-high-comm,4,.5,
115,13,115,13.5,docker,mpi,4,.5,
116,17,116,17.5,singularity,mpi-high-comm,4,.5,
117,22,117,22.5,docker,mpi,16,.5,
120,26,120,26.5,singularity,mpi-high-comm,16,.5,
124,25,124,25.5,docker,mpi-high-comm,16,.5,
125,15,125,15.5,native,mpi,4,.5,
126,24,126,24.5,native,mpi,16,.5,
127,20,127,20.5,singularity,openmp,16,.5,
128,10,128,10.5,docker,openmp,4,.5,
131,14,131,14.5,singularity,mpi,4,.5,
133,21,133,21.5,native,openmp,16,.5,
134,27,134,27.5,native,mpi-high-comm,16,.5,
135,19,135,19.5,docker,openmp,16,.5,
136,26,136,26.6,singularity,mpi-high-comm,16,.6,
137,18,137,18.6,native,mpi-high-comm,4,.6,
139,21,139,21.6,native,openmp,16,.6,
140,13,140,13.6,docker,mpi,4,.6,
141,17,141,17.6,singularity,mpi-high-comm,4,.6,
143,24,143,24.6,native,mpi,16,.6,
144,11,144,11.6,singularity,openmp,4,.6,
145,19,145,19.6,docker,openmp,16,.6,
146,14,146,14.6,singularity,mpi,4,.6,
147,20,147,20.6,singularity,openmp,16,.6,
149,12,149,12.6,native,openmp,4,.6,
150,15,150,15.6,native,mpi,4,.6,
151,22,151,22.6,docker,mpi,16,.6,
153,10,153,10.6,docker,openmp,4,.6,
154,23,154,23.6,singularity,mpi,16,.6,
158,16,158,16.6,docker,mpi-high-comm,4,.6,
159,27,159,27.6,native,mpi-high-comm,16,.6,
160,25,160,25.6,docker,mpi-high-comm,16,.6,
163,15,163,15.7,native,mpi,4,.7,
164,17,164,17.7,singularity,mpi-high-comm,4,.7,
166,20,166,20.7,singularity,openmp,16,.7,
167,22,167,22.7,docker,mpi,16,.7,
170,12,170,12.7,native,openmp,4,.7,
171,10,171,10.7,docker,openmp,4,.7,
173,23,173,23.7,singularity,mpi,16,.7,
174,14,174,14.7,singularity,mpi,4,.7,
175,11,175,11.7,singularity,openmp,4,.7,
178,24,178,24.7,native,mpi,16,.7,
180,27,180,27.7,native,mpi-high-comm,16,.7,
181,16,181,16.7,docker,mpi-high-comm,4,.7,
182,26,182,26.7,singularity,mpi-high-comm,16,.7,
183,25,183,25.7,docker,mpi-high-comm,16,.7,
184,18,184,18.7,native,mpi-high-comm,4,.7,
185,21,185,21.7,native,openmp,16,.7,
188,19,188,19.7,docker,openmp,16,.7,
189,13,189,13.7,docker,mpi,4,.7,
190,18,190,18.8,native,mpi-high-comm,4,.8,
191,19,191,19.8,docker,openmp,16,.8,
194,20,194,20.8,singularity,openmp,16,.8,
195,25,195,25.8,docker,mpi-high-comm,16,.8,
197,21,197,21.8,native,openmp,16,.8,
198,23,198,23.8,singularity,mpi,16,.8,
199,22,199,22.8,docker,mpi,16,.8,
201,13,201,13.8,docker,mpi,4,.8,
202,17,202,17.8,singularity,mpi-high-comm,4,.8,
207,16,207,16.8,docker,mpi-high-comm,4,.8,
208,27,208,27.8,native,mpi-high-comm,16,.8,
209,11,209,11.8,singularity,openmp,4,.8,
210,12,210,12.8,native,openmp,4,.8,
212,10,212,10.8,docker,openmp,4,.8,
213,24,213,24.8,native,mpi,16,.8,
214,15,214,15.8,native,mpi,4,.8,
215,14,215,14.8,singularity,mpi,4,.8,
216,26,216,26.8,singularity,mpi-high-comm,16,.8,
219,20,219,20.9,singularity,openmp,16,.9,
220,22,220,22.9,docker,mpi,16,.9,
222,24,222,24.9,native,mpi,16,.9,
224,18,224,18.9,native,mpi-high-comm,4,.9,
225,17,225,17.9,singularity,mpi-high-comm,4,.9,
229,12,229,12.9,native,openmp,4,.9,
231,15,231,15.9,native,mpi,4,.9,
232,26,232,26.9,singularity,mpi-high-comm,16,.9,
233,19,233,19.9,docker,openmp,16,.9,
235,25,235,25.9,docker,mpi-high-comm,16,.9,
236,10,236,10.9,docker,openmp,4,.9,
