MPI-2 passive ping-pong latency test, performing 10 rounds at each xfer size.

       1 bytes,   0.33855438 ms
       1 bytes,   0.30350685 ms
       1 bytes,   0.30159950 ms
       1 bytes,   0.30636787 ms
       1 bytes,   0.27728081 ms
       1 bytes,   0.35381317 ms
       1 bytes,   0.31328201 ms
       1 bytes,   0.27728081 ms
       1 bytes,   0.31614304 ms
       1 bytes,   0.38790703 ms
       1 bytes,   0.27775764 ms
       1 bytes,   0.38027763 ms
       1 bytes,   0.27775764 ms
       1 bytes,   0.30851364 ms
       1 bytes,   0.27084351 ms
       1 bytes,   0.37765503 ms
       1 bytes,   0.26082993 ms
       1 bytes,   0.29110909 ms
       1 bytes,   0.29301643 ms
       1 bytes,   0.29277802 ms
       2 bytes,   0.25105476 ms
       2 bytes,   0.37264824 ms
       2 bytes,   0.25558472 ms
       2 bytes,   0.29134750 ms
       2 bytes,   0.29563904 ms
       2 bytes,   0.29921532 ms
       2 bytes,   0.31280518 ms
       2 bytes,   0.29611588 ms
       2 bytes,   0.28824806 ms
       2 bytes,   0.34070015 ms
       2 bytes,   0.26392937 ms
       2 bytes,   0.28657913 ms
       2 bytes,   0.22578239 ms
       2 bytes,   0.34022331 ms
       2 bytes,   0.22506714 ms
       2 bytes,   0.33378601 ms
       2 bytes,   0.22554398 ms
       2 bytes,   0.33998489 ms
       2 bytes,   0.22697449 ms
       2 bytes,   0.32663345 ms
       4 bytes,   0.28300285 ms
       4 bytes,   0.33807755 ms
       4 bytes,   0.27847290 ms
       4 bytes,   0.30660629 ms
       4 bytes,   0.26798248 ms
       4 bytes,   0.37503242 ms
       4 bytes,   0.26035309 ms
       4 bytes,   0.28514862 ms
       4 bytes,   0.28610229 ms
       4 bytes,   0.35309792 ms
       4 bytes,   0.25892258 ms
       4 bytes,   0.40030479 ms
       4 bytes,   0.31614304 ms
       4 bytes,   0.38409233 ms
       4 bytes,   0.27656555 ms
       4 bytes,   0.37908554 ms
       4 bytes,   0.27537346 ms
       4 bytes,   0.30684471 ms
       4 bytes,   0.22315979 ms
       4 bytes,   0.33664703 ms
       8 bytes,   0.28204918 ms
       8 bytes,   0.33354759 ms
       8 bytes,   0.27513504 ms
       8 bytes,   0.30589104 ms
       8 bytes,   0.27132034 ms
       8 bytes,   0.37217140 ms
       8 bytes,   0.25916100 ms
       8 bytes,   0.28610229 ms
       8 bytes,   0.21934509 ms
       8 bytes,   0.33688545 ms
       8 bytes,   0.22006035 ms
       8 bytes,   0.32901764 ms
       8 bytes,   0.22053719 ms
       8 bytes,   0.33307076 ms
       8 bytes,   0.22006035 ms
       8 bytes,   0.32329559 ms
       8 bytes,   0.29134750 ms
       8 bytes,   0.30303001 ms
       8 bytes,   0.24938583 ms
       8 bytes,   0.37336349 ms
      16 bytes,   0.20790100 ms
      16 bytes,   0.32830238 ms
      16 bytes,   0.29444695 ms
      16 bytes,   0.29969215 ms
      16 bytes,   0.29349327 ms
      16 bytes,   0.34022331 ms
      16 bytes,   0.28467178 ms
      16 bytes,   0.33259392 ms
      16 bytes,   0.26082993 ms
      16 bytes,   0.28061867 ms
      16 bytes,   0.22006035 ms
      16 bytes,   0.34332275 ms
      16 bytes,   0.22053719 ms
      16 bytes,   0.33354759 ms
      16 bytes,   0.25773048 ms
      16 bytes,   0.34546852 ms
      16 bytes,   0.24294853 ms
      16 bytes,   0.35023689 ms
      16 bytes,   0.31375885 ms
      16 bytes,   0.27370453 ms
      32 bytes,   0.25224686 ms
      32 bytes,   0.26059151 ms
