MPI-2 passive ping-pong latency test, performing 10 rounds at each xfer size.

       1 bytes,   0.29468536 ms
       1 bytes,   0.31304359 ms
       1 bytes,   0.27394295 ms
       1 bytes,   0.35190582 ms
       1 bytes,   0.32210350 ms
       1 bytes,   0.28681755 ms
       1 bytes,   0.27394295 ms
       1 bytes,   0.42629242 ms
       1 bytes,   0.20885468 ms
       1 bytes,   0.33593178 ms
       1 bytes,   0.29492378 ms
       1 bytes,   0.30755997 ms
       1 bytes,   0.27275085 ms
       1 bytes,   0.34904480 ms
       1 bytes,   0.27322769 ms
       1 bytes,   0.39887428 ms
       1 bytes,   0.27489662 ms
       1 bytes,   0.42510033 ms
       1 bytes,   0.24294853 ms
       1 bytes,   0.37741661 ms
       2 bytes,   0.29659271 ms
       2 bytes,   0.29230118 ms
       2 bytes,   0.32305717 ms
       2 bytes,   0.29301643 ms
       2 bytes,   0.27465820 ms
       2 bytes,   0.37765503 ms
       2 bytes,   0.25558472 ms
       2 bytes,   0.31638145 ms
       2 bytes,   0.29945374 ms
       2 bytes,   0.30183792 ms
       2 bytes,   0.31185150 ms
       2 bytes,   0.30517578 ms
       2 bytes,   0.27680397 ms
       2 bytes,   0.38099289 ms
       2 bytes,   0.28133392 ms
       2 bytes,   0.30732155 ms
       2 bytes,   0.26178360 ms
       2 bytes,   0.29659271 ms
       2 bytes,   0.27108192 ms
       2 bytes,   0.35023689 ms
       4 bytes,   0.24867058 ms
       4 bytes,   0.35929680 ms
       4 bytes,   0.26988983 ms
       4 bytes,   0.37789345 ms
       4 bytes,   0.25558472 ms
       4 bytes,   0.34832954 ms
       4 bytes,   0.28133392 ms
       4 bytes,   0.38242340 ms
       4 bytes,   0.26392937 ms
       4 bytes,   0.30946732 ms
       4 bytes,   0.22435188 ms
       4 bytes,   0.33473969 ms
       4 bytes,   0.27561188 ms
       4 bytes,   0.28443336 ms
       4 bytes,   0.32043457 ms
       4 bytes,   0.28514862 ms
       4 bytes,   0.26988983 ms
       4 bytes,   0.37455559 ms
       4 bytes,   0.25296211 ms
       4 bytes,   0.31661987 ms
       8 bytes,   0.28014183 ms
       8 bytes,   0.30255318 ms
       8 bytes,   0.27942657 ms
       8 bytes,   0.35905838 ms
       8 bytes,   0.22292137 ms
       8 bytes,   0.33378601 ms
       8 bytes,   0.29325485 ms
       8 bytes,   0.29945374 ms
       8 bytes,   0.27322769 ms
       8 bytes,   0.35047531 ms
       8 bytes,   0.26655197 ms
       8 bytes,   0.28538704 ms
       8 bytes,   0.27060509 ms
       8 bytes,   0.35786629 ms
       8 bytes,   0.26845932 ms
       8 bytes,   0.37384033 ms
       8 bytes,   0.26082993 ms
       8 bytes,   0.31161308 ms
       8 bytes,   0.22435188 ms
       8 bytes,   0.31375885 ms
      16 bytes,   0.29778481 ms
      16 bytes,   0.30469894 ms
      16 bytes,   0.27203560 ms
      16 bytes,   0.37932396 ms
      16 bytes,   0.31781197 ms
      16 bytes,   0.38623810 ms
      16 bytes,   0.26631355 ms
      16 bytes,   0.36954880 ms
      16 bytes,   0.26130676 ms
      16 bytes,   0.30612946 ms
      16 bytes,   0.29134750 ms
      16 bytes,   0.30040741 ms
      16 bytes,   0.26774406 ms
      16 bytes,   0.34642220 ms
      16 bytes,   0.32377243 ms
      16 bytes,   0.28538704 ms
      16 bytes,   0.31590462 ms
      16 bytes,   0.38576126 ms
      16 bytes,   0.26869774 ms
      16 bytes,   0.38242340 ms
      32 bytes,   0.26440620 ms
      32 bytes,   0.35238266 ms
      32 bytes,   0.26965141 ms
      32 bytes,   0.35023689 ms
      32 bytes,   0.27656555 ms
      32 bytes,   0.29373169 ms
      32 bytes,   0.27227402 ms
      32 bytes,   0.35119057 ms
      32 bytes,   0.27108192 ms
      32 bytes,   0.34761429 ms
      32 bytes,   0.28252602 ms
      32 bytes,   0.32091141 ms
      32 bytes,   0.26798248 ms
      32 bytes,   0.37431717 ms
      32 bytes,   0.26369095 ms
      32 bytes,   0.30779839 ms
      32 bytes,   0.22459030 ms
      32 bytes,   0.33569336 ms
      32 bytes,   0.22292137 ms
      32 bytes,   0.31352043 ms
      64 bytes,   0.30469894 ms
      64 bytes,   0.28824806 ms
      64 bytes,   0.27155876 ms
      64 bytes,   0.30350685 ms
      64 bytes,   0.26202202 ms
      64 bytes,   0.31900406 ms
      64 bytes,   0.22244453 ms
      64 bytes,   0.32901764 ms
      64 bytes,   0.29730797 ms
      64 bytes,   0.30326843 ms
      64 bytes,   0.31495094 ms
      64 bytes,   0.30636787 ms
      64 bytes,   0.27084351 ms
      64 bytes,   0.37622452 ms
      64 bytes,   0.26130676 ms
      64 bytes,   0.31018257 ms
      64 bytes,   0.22554398 ms
      64 bytes,   0.32091141 ms
      64 bytes,   0.22006035 ms
      64 bytes,   0.30922890 ms
     128 bytes,   0.29897690 ms
     128 bytes,   0.31065941 ms
     128 bytes,   0.27084351 ms
     128 bytes,   0.37145615 ms
     128 bytes,   0.27894974 ms
     128 bytes,   0.37884712 ms
     128 bytes,   0.26917458 ms
     128 bytes,   0.37908554 ms
     128 bytes,   0.26750565 ms
     128 bytes,   0.31971931 ms
     128 bytes,   0.22602081 ms
     128 bytes,   0.33831596 ms
     128 bytes,   0.22315979 ms
     128 bytes,   0.30779839 ms
     128 bytes,   0.27966499 ms
     128 bytes,   0.35715103 ms
     128 bytes,   0.27489662 ms
     128 bytes,   0.39744377 ms
     128 bytes,   0.32067299 ms
     128 bytes,   0.38790703 ms
     256 bytes,   0.30541420 ms
     256 bytes,   0.30636787 ms
     256 bytes,   0.27799606 ms
     256 bytes,   0.34999847 ms
     256 bytes,   0.32949448 ms
     256 bytes,   0.29134750 ms
     256 bytes,   0.32687187 ms
     256 bytes,   0.38814545 ms
     256 bytes,   0.32138824 ms
     256 bytes,   0.31471252 ms
     256 bytes,   0.27728081 ms
     256 bytes,   0.37574768 ms
     256 bytes,   0.27084351 ms
     256 bytes,   0.37074089 ms
     256 bytes,   0.29897690 ms
     256 bytes,   0.35500526 ms
     256 bytes,   0.27751923 ms
     256 bytes,   0.34546852 ms
     256 bytes,   0.32854080 ms
     256 bytes,   0.29015541 ms
     512 bytes,   0.26059151 ms
     512 bytes,   0.33354759 ms
     512 bytes,   0.26249886 ms
     512 bytes,   0.30207634 ms
     512 bytes,   0.27918816 ms
     512 bytes,   0.34642220 ms
     512 bytes,   0.29087067 ms
