Environment,Framework,Parallelism,Time
docker,mpi,1,81414
docker,mpi,1,81414
docker,mpi,1,81418
docker,mpi,1,81424
docker,mpi,1,81447
docker,mpi,1,81468
docker,mpi,1,81497
docker,mpi,1,81521
docker,mpi,1,81545
docker,mpi,1,82358
docker,mpi,4,20612
docker,mpi,4,20616
docker,mpi,4,20626
docker,mpi,4,20635
docker,mpi,4,20636
docker,mpi,4,20637
docker,mpi,4,20638
docker,mpi,4,20651
docker,mpi,4,20699
docker,mpi,4,20856
docker,mpi,8,10924
docker,mpi,8,10470
docker,mpi,8,10576
docker,mpi,8,10752
docker,mpi,8,10843
docker,mpi,8,10769
docker,mpi,8,10814
docker,mpi,8,10794
docker,mpi,8,10762
docker,mpi,8,10832
docker,mpi,16,5414
docker,mpi,16,5430
docker,mpi,16,5435
docker,mpi,16,5478
docker,mpi,16,5602
docker,mpi,16,5658
docker,mpi,16,5660
docker,mpi,16,5820
docker,mpi,16,5849
docker,mpi,16,31377
docker,mpi-high-comm,1,81408
docker,mpi-high-comm,1,81417
docker,mpi-high-comm,1,81419
docker,mpi-high-comm,1,81429
docker,mpi-high-comm,1,81432
docker,mpi-high-comm,1,81433
docker,mpi-high-comm,1,81437
docker,mpi-high-comm,1,81496
docker,mpi-high-comm,1,81511
docker,mpi-high-comm,1,81521
docker,mpi-high-comm,4,20615
docker,mpi-high-comm,4,20616
docker,mpi-high-comm,4,20618
docker,mpi-high-comm,4,20619
docker,mpi-high-comm,4,20624
docker,mpi-high-comm,4,20633
docker,mpi-high-comm,4,20643
docker,mpi-high-comm,4,20687
docker,mpi-high-comm,4,20815
docker,mpi-high-comm,4,21027
docker,mpi-high-comm,8,10459
docker,mpi-high-comm,8,10757
docker,mpi-high-comm,8,10942
docker,mpi-high-comm,8,10976
docker,mpi-high-comm,8,10774
docker,mpi-high-comm,8,10693
docker,mpi-high-comm,8,10744
docker,mpi-high-comm,8,10563
docker,mpi-high-comm,8,10940
docker,mpi-high-comm,8,10886
docker,mpi-high-comm,16,5414
docker,mpi-high-comm,16,5435
docker,mpi-high-comm,16,5451
docker,mpi-high-comm,16,5459
docker,mpi-high-comm,16,5476
docker,mpi-high-comm,16,5537
docker,mpi-high-comm,16,5627
docker,mpi-high-comm,16,5763
docker,mpi-high-comm,16,5813
docker,mpi-high-comm,16,6460
docker,openmp,1,81666
docker,openmp,1,81676
