Environment,Framework,Parallelism,Time
docker,mpi,1,605020
docker,mpi,1,605347
docker,mpi,1,602680
docker,mpi,1,604122
docker,mpi,1,603980
docker,mpi,1,604441
docker,mpi,1,603980
docker,mpi,1,603919
docker,mpi,1,603144
docker,mpi,1,604070
docker,mpi,4,184784
docker,mpi,4,184343
docker,mpi,4,185543
docker,mpi,4,184786
docker,mpi,4,184372
docker,mpi,4,185452
docker,mpi,4,184827
docker,mpi,4,184866
docker,mpi,4,184821
docker,mpi,4,185812
docker,mpi,8,177005
docker,mpi,8,177907
docker,mpi,8,175830
docker,mpi,8,176408
docker,mpi,8,175926
docker,mpi,8,174879
docker,mpi,8,175622
docker,mpi,8,175600
docker,mpi,8,177411
docker,mpi,8,176343
docker,mpi,16,118578
docker,mpi,16,128234
docker,mpi,16,118443
docker,mpi,16,123888
docker,mpi,16,119788
docker,mpi,16,122703
docker,mpi,16,117992
docker,mpi,16,125594
docker,mpi,16,138145
docker,mpi,16,123101
docker,mpi-high-comm,1,604870
docker,mpi-high-comm,1,606148
docker,mpi-high-comm,1,605800
docker,mpi-high-comm,1,604469
docker,mpi-high-comm,1,603670
docker,mpi-high-comm,1,603449
docker,mpi-high-comm,1,605071
docker,mpi-high-comm,1,603956
docker,mpi-high-comm,1,604682
docker,mpi-high-comm,1,604704
docker,mpi-high-comm,4,185107
docker,mpi-high-comm,4,184450
docker,mpi-high-comm,4,184701
docker,mpi-high-comm,4,184901
docker,mpi-high-comm,4,184739
docker,mpi-high-comm,4,185061
docker,mpi-high-comm,4,185108
docker,mpi-high-comm,4,184904
docker,mpi-high-comm,4,184651
docker,mpi-high-comm,4,185110
docker,mpi-high-comm,8,111980
docker,mpi-high-comm,8,176173
docker,mpi-high-comm,8,176605
docker,mpi-high-comm,8,175040
docker,mpi-high-comm,8,175844
docker,mpi-high-comm,8,175002
docker,mpi-high-comm,8,175486
docker,mpi-high-comm,8,175245
docker,mpi-high-comm,8,175613
docker,mpi-high-comm,8,175470
docker,mpi-high-comm,16,127110
docker,mpi-high-comm,16,126135
docker,mpi-high-comm,16,128477
docker,mpi-high-comm,16,134663
docker,mpi-high-comm,16,126703
docker,mpi-high-comm,16,133454
docker,mpi-high-comm,16,123471
docker,mpi-high-comm,16,140277
docker,mpi-high-comm,16,65741
docker,mpi-high-comm,16,133484
docker,openmp,1,641594
docker,openmp,1,641397
docker,openmp,1,640503
docker,openmp,1,640171
docker,openmp,1,640707
docker,openmp,1,639871
docker,openmp,1,639846
docker,openmp,1,642026
docker,openmp,1,640507
docker,openmp,1,639455
docker,openmp,4,169363
docker,openmp,4,168793
docker,openmp,4,169039
docker,openmp,4,168636
docker,openmp,4,168963
docker,openmp,4,169156
docker,openmp,4,170071
docker,openmp,4,168969
docker,openmp,4,168874
docker,openmp,4,169010
docker,openmp,8,169353
docker,openmp,8,168451
docker,openmp,8,168869
docker,openmp,8,168993
docker,openmp,8,168873
docker,openmp,8,168565
docker,openmp,8,168673
docker,openmp,8,168802
