docker,1B,631.25228882us
docker,2B,630.67841530us
docker,4B,629.96029854us
docker,8B,630.36799431us
docker,16B,634.20248032us
docker,32B,659.40356255us
docker,64B,674.10039902us
docker,128B,672.67370224us
docker,256B,676.31459236us
docker,512B,693.63570213us
docker,1KB,764.66417313us
docker,2KB,890.05517960us
docker,4KB,1019.19031143us
docker,8KB,1262.00890541us
docker,16KB,1600.32629967us
docker,32KB,2403.40042114us
docker,64KB,4435.85705757us
docker,128KB,8813.71784210us
docker,256KB,13188.86113167us
docker,512KB,25470.70884705us
docker,1MB,51404.87360954us
singularity,1B,425.72331429us
singularity,2B,399.81055260us
singularity,4B,397.17030525us
singularity,8B,390.15340805us
singularity,16B,393.62978935us
singularity,32B,405.95316887us
singularity,64B,394.97399330us
singularity,128B,400.94733238us
singularity,256B,405.40289879us
singularity,512B,408.62631798us
singularity,1KB,436.89179420us
singularity,2KB,577.12221146us
singularity,4KB,799.95846748us
singularity,8KB,1076.94888115us
singularity,16KB,1033.16593170us
singularity,32KB,1644.22178268us
singularity,64KB,2657.84120560us
singularity,128KB,3259.23776627us
singularity,256KB,5865.09728432us
singularity,512KB,10362.69044876us
singularity,1MB,19219.70820427us
native,1B,388.54384422us
native,2B,391.88933372us
native,4B,400.88057518us
native,8B,388.96107674us
native,16B,404.08611298us
native,32B,403.84626389us
native,64B,404.68931198us
native,128B,398.61249924us
native,256B,402.91285515us
native,512B,402.71067619us
native,1KB,436.73014641us
native,2KB,560.47940254us
native,4KB,898.93913269us
native,8KB,1019.40751076us
native,16KB,1021.35658264us
native,32KB,1650.50888062us
native,64KB,2629.37712669us
native,128KB,3259.87362862us
native,256KB,5863.86513710us
native,512KB,10360.60094833us
native,1MB,19201.86972618us
