name,run.no.in.std.order,run.no,run.no.std.rp,environment,context,parallelism,Blocks,time
1,12,1,12.1,native,openmp,4,.1,
2,16,2,16.1,docker,mpi-high-comm,4,.1,
3,2,3,2.1,singularity,openmp,1,.1,
4,22,4,22.1,docker,mpi,16,.1,
5,15,5,15.1,native,mpi,4,.1,
6,10,6,10.1,docker,openmp,4,.1,
7,3,7,3.1,native,openmp,1,.1,
8,14,8,14.1,singularity,mpi,4,.1,
9,11,9,11.1,singularity,openmp,4,.1,
10,21,10,21.1,native,openmp,16,.1,
11,20,11,20.1,singularity,openmp,16,.1,
12,9,12,9.1,native,mpi-high-comm,1,.1,
13,25,13,25.1,docker,mpi-high-comm,16,.1,
14,18,14,18.1,native,mpi-high-comm,4,.1,
15,8,15,8.1,singularity,mpi-high-comm,1,.1,
16,5,16,5.1,singularity,mpi,1,.1,
17,26,17,26.1,singularity,mpi-high-comm,16,.1,
18,1,18,1.1,docker,openmp,1,.1,
19,4,19,4.1,docker,mpi,1,.1,
20,7,20,7.1,docker,mpi-high-comm,1,.1,
21,27,21,27.1,native,mpi-high-comm,16,.1,
22,24,22,24.1,native,mpi,16,.1,
23,13,23,13.1,docker,mpi,4,.1,
24,17,24,17.1,singularity,mpi-high-comm,4,.1,
25,23,25,23.1,singularity,mpi,16,.1,
26,19,26,19.1,docker,openmp,16,.1,
27,6,27,6.1,native,mpi,1,.1,
28,25,28,25.2,docker,mpi-high-comm,16,.2,
29,9,29,9.2,native,mpi-high-comm,1,.2,
30,6,30,6.2,native,mpi,1,.2,
31,19,31,19.2,docker,openmp,16,.2,
32,20,32,20.2,singularity,openmp,16,.2,
33,8,33,8.2,singularity,mpi-high-comm,1,.2,
34,22,34,22.2,docker,mpi,16,.2,
35,26,35,26.2,singularity,mpi-high-comm,16,.2,
36,11,36,11.2,singularity,openmp,4,.2,
37,21,37,21.2,native,openmp,16,.2,
38,24,38,24.2,native,mpi,16,.2,
39,2,39,2.2,singularity,openmp,1,.2,
40,5,40,5.2,singularity,mpi,1,.2,
41,14,41,14.2,singularity,mpi,4,.2,
42,15,42,15.2,native,mpi,4,.2,
43,12,43,12.2,native,openmp,4,.2,
44,18,44,18.2,native,mpi-high-comm,4,.2,
45,13,45,13.2,docker,mpi,4,.2,
46,17,46,17.2,singularity,mpi-high-comm,4,.2,
47,10,47,10.2,docker,openmp,4,.2,
48,27,48,27.2,native,mpi-high-comm,16,.2,
49,1,49,1.2,docker,openmp,1,.2,
50,16,50,16.2,docker,mpi-high-comm,4,.2,
51,23,51,23.2,singularity,mpi,16,.2,
52,4,52,4.2,docker,mpi,1,.2,
53,3,53,3.2,native,openmp,1,.2,
54,7,54,7.2,docker,mpi-high-comm,1,.2,
55,12,55,12.3,native,openmp,4,.3,
56,25,56,25.3,docker,mpi-high-comm,16,.3,
57,10,57,10.3,docker,openmp,4,.3,
58,24,58,24.3,native,mpi,16,.3,
59,6,59,6.3,native,mpi,1,.3,
60,11,60,11.3,singularity,openmp,4,.3,
61,9,61,9.3,native,mpi-high-comm,1,.3,
62,23,62,23.3,singularity,mpi,16,.3,
63,8,63,8.3,singularity,mpi-high-comm,1,.3,
64,14,64,14.3,singularity,mpi,4,.3,
65,26,65,26.3,singularity,mpi-high-comm,16,.3,
66,16,66,16.3,docker,mpi-high-comm,4,.3,
67,18,67,18.3,native,mpi-high-comm,4,.3,
68,5,68,5.3,singularity,mpi,1,.3,
69,20,69,20.3,singularity,openmp,16,.3,
70,3,70,3.3,native,openmp,1,.3,
71,15,71,15.3,native,mpi,4,.3,
72,27,72,27.3,native,mpi-high-comm,16,.3,
73,4,73,4.3,docker,mpi,1,.3,
74,13,74,13.3,docker,mpi,4,.3,
75,19,75,19.3,docker,openmp,16,.3,
76,22,76,22.3,docker,mpi,16,.3,
77,1,77,1.3,docker,openmp,1,.3,
78,7,78,7.3,docker,mpi-high-comm,1,.3,
79,2,79,2.3,singularity,openmp,1,.3,
80,21,80,21.3,native,openmp,16,.3,
81,17,81,17.3,singularity,mpi-high-comm,4,.3,
82,21,82,21.4,native,openmp,16,.4,
83,10,83,10.4,docker,openmp,4,.4,
84,6,84,6.4,native,mpi,1,.4,
85,25,85,25.4,docker,mpi-high-comm,16,.4,
86,16,86,16.4,docker,mpi-high-comm,4,.4,
87,15,87,15.4,native,mpi,4,.4,
88,17,88,17.4,singularity,mpi-high-comm,4,.4,
89,26,89,26.4,singularity,mpi-high-comm,16,.4,
90,2,90,2.4,singularity,openmp,1,.4,
91,13,91,13.4,docker,mpi,4,.4,
92,27,92,27.4,native,mpi-high-comm,16,.4,
93,18,93,18.4,native,mpi-high-comm,4,.4,
94,1,94,1.4,docker,openmp,1,.4,
95,24,95,24.4,native,mpi,16,.4,
96,8,96,8.4,singularity,mpi-high-comm,1,.4,
97,20,97,20.4,singularity,openmp,16,.4,
98,23,98,23.4,singularity,mpi,16,.4,
99,4,99,4.4,docker,mpi,1,.4,
100,14,100,14.4,singularity,mpi,4,.4,
101,22,101,22.4,docker,mpi,16,.4,
102,11,102,11.4,singularity,openmp,4,.4,
103,19,103,19.4,docker,openmp,16,.4,
104,9,104,9.4,native,mpi-high-comm,1,.4,
105,3,105,3.4,native,openmp,1,.4,
106,12,106,12.4,native,openmp,4,.4,
107,5,107,5.4,singularity,mpi,1,.4,
108,7,108,7.4,docker,mpi-high-comm,1,.4,
109,11,109,11.5,singularity,openmp,4,.5,
110,12,110,12.5,native,openmp,4,.5,
111,18,111,18.5,native,mpi-high-comm,4,.5,
112,23,112,23.5,singularity,mpi,16,.5,
113,9,113,9.5,native,mpi-high-comm,1,.5,
114,16,114,16.5,docker,mpi-high-comm,4,.5,
115,13,115,13.5,docker,mpi,4,.5,
116,17,116,17.5,singularity,mpi-high-comm,4,.5,
117,22,117,22.5,docker,mpi,16,.5,
118,7,118,7.5,docker,mpi-high-comm,1,.5,
119,4,119,4.5,docker,mpi,1,.5,
120,26,120,26.5,singularity,mpi-high-comm,16,.5,
121,8,121,8.5,singularity,mpi-high-comm,1,.5,
122,3,122,3.5,native,openmp,1,.5,
123,2,123,2.5,singularity,openmp,1,.5,
124,25,124,25.5,docker,mpi-high-comm,16,.5,
125,15,125,15.5,native,mpi,4,.5,
126,24,126,24.5,native,mpi,16,.5,
127,20,127,20.5,singularity,openmp,16,.5,
128,10,128,10.5,docker,openmp,4,.5,
129,5,129,5.5,singularity,mpi,1,.5,
130,6,130,6.5,native,mpi,1,.5,
131,14,131,14.5,singularity,mpi,4,.5,
132,1,132,1.5,docker,openmp,1,.5,
133,21,133,21.5,native,openmp,16,.5,
134,27,134,27.5,native,mpi-high-comm,16,.5,
135,19,135,19.5,docker,openmp,16,.5,
136,26,136,26.6,singularity,mpi-high-comm,16,.6,
137,18,137,18.6,native,mpi-high-comm,4,.6,
138,3,138,3.6,native,openmp,1,.6,
139,21,139,21.6,native,openmp,16,.6,
140,13,140,13.6,docker,mpi,4,.6,
141,17,141,17.6,singularity,mpi-high-comm,4,.6,
142,2,142,2.6,singularity,openmp,1,.6,
143,24,143,24.6,native,mpi,16,.6,
144,11,144,11.6,singularity,openmp,4,.6,
145,19,145,19.6,docker,openmp,16,.6,
146,14,146,14.6,singularity,mpi,4,.6,
147,20,147,20.6,singularity,openmp,16,.6,
148,9,148,9.6,native,mpi-high-comm,1,.6,
149,12,149,12.6,native,openmp,4,.6,
150,15,150,15.6,native,mpi,4,.6,
151,22,151,22.6,docker,mpi,16,.6,
152,7,152,7.6,docker,mpi-high-comm,1,.6,
153,10,153,10.6,docker,openmp,4,.6,
154,23,154,23.6,singularity,mpi,16,.6,
155,5,155,5.6,singularity,mpi,1,.6,
