name,environment,parallelism,time
2,docker,8,11061
3,docker,1,85630
6,docker,4,21763
7,docker,16,6097
13,docker,1,85456
15,docker,8,11102
16,docker,4,21881
22,docker,16,5613
30,docker,16,6165
33,docker,8,11220
34,docker,4,21647
35,docker,1,85454
38,docker,8,11200
39,docker,1,85556
44,docker,4,21619
48,docker,16,5928
50,docker,4,21608
54,docker,16,6159
56,docker,8,11016
59,docker,1,85458
62,docker,4,21889
64,docker,8,11012
70,docker,1,85821
72,docker,16,5840
76,docker,8,11216
77,docker,1,85477
78,docker,16,5865
83,docker,4,21609
87,docker,8,11125
89,docker,4,21771
90,docker,1,85623
94,docker,16,6210
97,docker,16,5993
99,docker,4,21784
101,docker,1,85469
108,docker,8,11211
115,docker,4,21606
116,docker,8,11059
119,docker,1,85453
120,docker,16,5954
121,docker,8,11114
123,docker,1,85484
130,docker,4,21762
131,docker,16,6147
133,docker,8,11168
138,docker,1,85473
140,docker,16,6165
141,docker,4,21691
145,docker,8,11018
152,docker,4,21750
155,docker,16,6075
156,docker,1,85468
157,docker,16,6096
158,docker,4,21681
165,docker,1,85443
166,docker,8,11201
169,docker,1,86009
170,docker,8,11019
173,docker,4,21878
180,docker,16,5869
182,docker,16,6275
183,docker,8,11122
184,docker,1,86330
187,docker,4,21607
194,docker,16,5745
196,docker,4,21698
201,docker,8,11104
203,docker,1,85477
205,docker,4,21610
208,docker,8,11108
211,docker,1,85468
212,docker,16,5924
217,docker,1,86559
222,docker,8,11058
225,docker,4,21631
226,docker,16,5892
229,docker,16,6036
233,docker,8,10974
239,docker,4,21608
240,docker,1,85461
243,docker,16,6708
244,docker,8,11116
247,docker,1,85462
249,docker,4,22073
256,docker,4,21880
260,docker,1,86536
261,docker,8,11014
263,docker,16,6894
265,docker,1,85514
267,docker,4,21694
269,docker,16,6133
273,docker,8,11087
279,docker,8,11019
283,docker,16,6351
285,docker,1,85863
287,docker,4,21862
289,docker,16,5988
290,docker,1,85481
293,docker,8,11104
296,docker,4,21620
302,docker,1,85453
303,docker,8,11005
306,docker,16,5870
311,docker,4,21687
318,docker,16,5687
319,docker,1,86548
321,docker,4,21608
322,docker,8,11207
327,docker,1,85457
330,docker,8,11016
332,docker,4,21615
334,docker,16,6170
337,docker,16,6244
343,docker,1,85478
347,docker,8,11095
348,docker,4,21686
349,docker,16,6206
355,docker,8,11223
358,docker,1,85451
359,docker,4,21865
