name,run.no.in.std.order,run.no,run.no.std.rp,environment,parallelism,Blocks,time
1,4,1,4.1,native,128,.1,
2,5,2,5.1,singularity,192,.1,
3,1,3,1.1,singularity,64,.1,
4,7,4,7.1,singularity,256,.1,
5,3,5,3.1,singularity,128,.1,
6,2,6,2.1,native,64,.1,
7,6,7,6.1,native,192,.1,
8,8,8,8.1,native,256,.1,
9,5,9,5.2,singularity,192,.2,
10,2,10,2.2,native,64,.2,
11,8,11,8.2,native,256,.2,
12,3,12,3.2,singularity,128,.2,
13,1,13,1.2,singularity,64,.2,
14,4,14,4.2,native,128,.2,
15,7,15,7.2,singularity,256,.2,
16,6,16,6.2,native,192,.2,
17,6,17,6.3,native,192,.3,
18,1,18,1.3,singularity,64,.3,
19,3,19,3.3,singularity,128,.3,
20,5,20,5.3,singularity,192,.3,
21,8,21,8.3,native,256,.3,
22,7,22,7.3,singularity,256,.3,
23,2,23,2.3,native,64,.3,
24,4,24,4.3,native,128,.3,
25,6,25,6.4,native,192,.4,
26,8,26,8.4,native,256,.4,
27,1,27,1.4,singularity,64,.4,
28,5,28,5.4,singularity,192,.4,
29,2,29,2.4,native,64,.4,
30,7,30,7.4,singularity,256,.4,
31,4,31,4.4,native,128,.4,
32,3,32,3.4,singularity,128,.4,
33,3,33,3.5,singularity,128,.5,
34,8,34,8.5,native,256,.5,
35,7,35,7.5,singularity,256,.5,
36,6,36,6.5,native,192,.5,
37,2,37,2.5,native,64,.5,
38,4,38,4.5,native,128,.5,
39,1,39,1.5,singularity,64,.5,
40,5,40,5.5,singularity,192,.5,
41,8,41,8.6,native,256,.6,
42,3,42,3.6,singularity,128,.6,
43,6,43,6.6,native,192,.6,
44,4,44,4.6,native,128,.6,
45,2,45,2.6,native,64,.6,
46,7,46,7.6,singularity,256,.6,
47,5,47,5.6,singularity,192,.6,
48,1,48,1.6,singularity,64,.6,
49,1,49,1.7,singularity,64,.7,
50,3,50,3.7,singularity,128,.7,
51,7,51,7.7,singularity,256,.7,
52,4,52,4.7,native,128,.7,
53,5,53,5.7,singularity,192,.7,
54,6,54,6.7,native,192,.7,
55,8,55,8.7,native,256,.7,
56,2,56,2.7,native,64,.7,
57,4,57,4.8,native,128,.8,
58,7,58,7.8,singularity,256,.8,
59,2,59,2.8,native,64,.8,
60,3,60,3.8,singularity,128,.8,
61,6,61,6.8,native,192,.8,
62,1,62,1.8,singularity,64,.8,
63,5,63,5.8,singularity,192,.8,
64,8,64,8.8,native,256,.8,
65,5,65,5.9,singularity,192,.9,
66,7,66,7.9,singularity,256,.9,
67,6,67,6.9,native,192,.9,
68,2,68,2.9,native,64,.9,
69,8,69,8.9,native,256,.9,
70,1,70,1.9,singularity,64,.9,
71,3,71,3.9,singularity,128,.9,
72,4,72,4.9,native,128,.9,
73,4,73,4.10,native,128,.10,
74,5,74,5.10,singularity,192,.10,
75,7,75,7.10,singularity,256,.10,
76,8,76,8.10,native,256,.10,
77,1,77,1.10,singularity,64,.10,
78,6,78,6.10,native,192,.10,
79,3,79,3.10,singularity,128,.10,
80,2,80,2.10,native,64,.10,
