name,run.no.in.std.order,run.no,run.no.std.rp,environment,parallelism,Blocks,time
1,3,1,3.1,singularity,128,.1,
2,6,2,6.1,native,256,.1,
3,1,3,1.1,singularity,64,.1,
4,5,4,5.1,singularity,256,.1,
5,2,5,2.1,native,64,.1,
6,4,6,4.1,native,128,.1,
7,1,7,1.2,singularity,64,.2,
8,4,8,4.2,native,128,.2,
9,3,9,3.2,singularity,128,.2,
10,6,10,6.2,native,256,.2,
11,2,11,2.2,native,64,.2,
12,5,12,5.2,singularity,256,.2,
13,1,13,1.3,singularity,64,.3,
14,6,14,6.3,native,256,.3,
15,3,15,3.3,singularity,128,.3,
16,2,16,2.3,native,64,.3,
17,4,17,4.3,native,128,.3,
18,5,18,5.3,singularity,256,.3,
19,3,19,3.4,singularity,128,.4,
20,5,20,5.4,singularity,256,.4,
21,6,21,6.4,native,256,.4,
22,1,22,1.4,singularity,64,.4,
23,2,23,2.4,native,64,.4,
24,4,24,4.4,native,128,.4,
25,4,25,4.5,native,128,.5,
26,5,26,5.5,singularity,256,.5,
27,1,27,1.5,singularity,64,.5,
28,3,28,3.5,singularity,128,.5,
29,6,29,6.5,native,256,.5,
30,2,30,2.5,native,64,.5,
31,5,31,5.6,singularity,256,.6,
32,6,32,6.6,native,256,.6,
33,2,33,2.6,native,64,.6,
34,4,34,4.6,native,128,.6,
35,1,35,1.6,singularity,64,.6,
36,3,36,3.6,singularity,128,.6,
37,3,37,3.7,singularity,128,.7,
38,4,38,4.7,native,128,.7,
39,1,39,1.7,singularity,64,.7,
40,5,40,5.7,singularity,256,.7,
41,2,41,2.7,native,64,.7,
42,6,42,6.7,native,256,.7,
43,6,43,6.8,native,256,.8,
44,4,44,4.8,native,128,.8,
45,2,45,2.8,native,64,.8,
46,3,46,3.8,singularity,128,.8,
47,5,47,5.8,singularity,256,.8,
48,1,48,1.8,singularity,64,.8,
49,1,49,1.9,singularity,64,.9,
50,2,50,2.9,native,64,.9,
51,5,51,5.9,singularity,256,.9,
52,4,52,4.9,native,128,.9,
53,3,53,3.9,singularity,128,.9,
54,6,54,6.9,native,256,.9,
55,3,55,3.10,singularity,128,.10,
56,5,56,5.10,singularity,256,.10,
57,2,57,2.10,native,64,.10,
58,6,58,6.10,native,256,.10,
59,1,59,1.10,singularity,64,.10,
60,4,60,4.10,native,128,.10,
