name,environment,parallelism,time
1,native,128,170364
2,singularity,192,144385
3,singularity,64,284487
4,singularity,256,124978
5,singularity,128,170329
6,native,64,284466
7,native,192,142887
8,native,256,125970
9,singularity,192,144929
10,native,64,283848
11,native,256,126150
12,singularity,128,172176
13,singularity,64,284439
14,native,128,170438
15,singularity,256,124461
16,native,192,142643
17,native,192,143572
18,singularity,64,285514
19,singularity,128,170182
20,singularity,192,145868
21,native,256,124768
22,singularity,256,127179
23,native,64,284299
24,native,128,170079
25,native,192,143517
26,native,256,125224
27,singularity,64,284222
28,singularity,192,144021
29,native,64,284360
30,singularity,256,127265
31,native,128,170545
32,singularity,128,171241
33,singularity,128,172729
34,native,256,126735
35,singularity,256,127827
36,native,192,143467
37,native,64,284419
38,native,128,171806
39,singularity,64,284413
40,singularity,192,143369
41,native,256,126518
42,singularity,128,173045
43,native,192,143835
44,native,128,170284
45,native,64,284013
46,singularity,256,127010
47,singularity,192,144835
48,singularity,64,284267
49,singularity,64,284399
50,singularity,128,171628
51,singularity,256,125517
52,native,128,172328
53,singularity,192,144567
54,native,192,144154
55,native,256,127169
56,native,64,284039
57,native,128,171303
58,singularity,256,127532
59,native,64,285451
60,singularity,128,173283
61,native,192,143373
62,singularity,64,284553
63,singularity,192,143489
64,native,256,125448
65,singularity,192,144271
66,singularity,256,128854
67,native,192,144015
68,native,64,284038
69,native,256,127826
70,singularity,64,284444
71,singularity,128,172047
72,native,128,172363
73,native,128,172502
74,singularity,192,144279
75,singularity,256,127471
76,native,256,127072
77,singularity,64,284111
78,native,192,143686
79,singularity,128,171692
80,native,64,283944
