name,environment,parallelism,time
1,native,4,8539
4,native,8,5124
5,singularity,4,8693
8,singularity,16,3266
9,native,1,32111
10,native,16,3094
11,singularity,1,31892
12,singularity,8,5307
14,singularity,1,32019
17,native,4,8575
18,native,16,3077
19,native,1,31692
20,singularity,4,8720
21,singularity,8,5287
23,singularity,16,3272
24,native,8,5162
25,singularity,8,5332
26,native,8,5127
27,singularity,1,31755
28,singularity,16,3258
29,native,1,31649
31,singularity,4,8754
32,native,4,8578
36,native,16,3075
37,native,4,8595
40,native,1,31740
41,singularity,8,5351
42,native,8,5149
43,native,16,3075
45,singularity,1,31849
46,singularity,16,3299
47,singularity,4,8739
49,singularity,1,32267
51,singularity,4,8739
52,native,4,8547
53,singularity,8,5318
55,native,1,31755
57,native,16,3092
58,native,8,5156
60,singularity,16,3294
61,singularity,4,8710
63,singularity,16,3248
65,native,16,3079
66,native,8,5132
67,native,4,8517
68,singularity,1,31791
69,singularity,8,5378
71,native,1,31707
73,singularity,4,8740
74,singularity,8,5346
75,singularity,16,3299
79,native,1,31780
80,native,4,8620
81,native,8,5152
82,native,16,3078
84,singularity,1,31854
85,native,1,31642
86,singularity,8,5352
88,singularity,16,3327
91,singularity,4,8751
92,native,4,8555
93,native,8,5157
95,native,16,3088
96,singularity,1,32100
98,singularity,8,5309
100,native,4,8553
102,singularity,16,3292
103,singularity,1,31950
104,native,8,5145
105,native,1,31684
106,native,16,3077
107,singularity,4,8698
109,singularity,4,8715
110,native,16,3096
111,singularity,8,5386
112,native,8,5133
113,native,1,31885
114,singularity,16,3285
117,native,4,8596
118,singularity,1,31907
