name,environment,parallelism,time
2,docker,8,6835
3,docker,1,32139
6,docker,4,8673
7,docker,16,4764
13,docker,1,31979
15,docker,8,6904
16,docker,4,8677
22,docker,16,4730
30,docker,16,4731
33,docker,8,6862
34,docker,4,8718
35,docker,1,31940
38,docker,8,6890
39,docker,1,32039
44,docker,4,8688
48,docker,16,4762
50,docker,4,8676
54,docker,16,4729
56,docker,8,6904
59,docker,1,31855
62,docker,4,8665
64,docker,8,6847
70,docker,1,31850
72,docker,16,4723
76,docker,8,6860
77,docker,1,32085
78,docker,16,4711
83,docker,4,8664
87,docker,8,6870
89,docker,4,8672
90,docker,1,31971
94,docker,16,4707
97,docker,16,4707
99,docker,4,8696
101,docker,1,32103
108,docker,8,6853
115,docker,4,8677
116,docker,8,6871
119,docker,1,31869
120,docker,16,4738
