name,environment,parallelism,time
5,native,8,11349
8,singularity,8,10635
23,docker,8,10924
41,singularity,8,10664
42,native,8,11702
45,docker,8,10470
64,singularity,8,10648
71,native,8,11428
74,docker,8,10576
87,native,8,11352
91,docker,8,10752
100,singularity,8,10651
115,docker,8,10843
125,native,8,11422
131,singularity,8,10698
140,docker,8,10769
146,singularity,8,10665
150,native,8,11478
163,native,8,11545
174,singularity,8,10713
189,docker,8,10814
201,docker,8,10794
214,native,8,11456
215,singularity,8,10589
231,native,8,11347
239,singularity,8,10758
242,docker,8,10762
252,native,8,11708
255,docker,8,10832
259,singularity,8,10598
4,docker,16,5478
5,native,4,22880
8,singularity,4,21342
16,singularity,1,82328
19,docker,1,81424
22,native,16,5899
23,docker,4,20636
25,singularity,16,5585
27,native,1,90024
30,native,1,90039
34,docker,16,5435
38,native,16,5781
40,singularity,1,81480
41,singularity,4,20760
42,native,4,22583
45,docker,4,20699
51,singularity,16,5595
52,docker,1,81497
58,native,16,5839
59,native,1,89998
62,singularity,16,5574
64,singularity,4,20659
68,singularity,1,81478
71,native,4,22808
73,docker,1,81414
74,docker,4,20651
76,docker,16,5820
84,native,1,90023
87,native,4,23291
91,docker,4,20856
95,native,16,5904
98,singularity,16,5590
99,docker,1,81447
100,singularity,4,20589
101,docker,16,5658
107,singularity,1,81499
112,singularity,16,5637
115,docker,4,20637
117,docker,16,5660
119,docker,1,81418
125,native,4,23284
126,native,16,5827
129,singularity,1,81477
130,native,1,90025
131,singularity,4,20544
140,docker,4,20638
143,native,16,5908
146,singularity,4,20595
150,native,4,22579
151,docker,16,5414
154,singularity,16,5577
155,singularity,1,81478
161,native,1,90028
162,docker,1,82358
163,native,4,22765
165,singularity,1,81489
167,docker,16,5849
173,singularity,16,5623
174,singularity,4,20555
177,native,1,90009
178,native,16,5907
186,docker,1,81545
189,docker,4,20635
193,singularity,1,81494
198,singularity,16,5587
199,docker,16,5430
201,docker,4,20626
203,native,1,90940
205,docker,1,81521
213,native,16,5782
214,native,4,22579
215,singularity,4,20553
221,singularity,1,81488
222,native,16,5902
230,native,1,90012
231,native,4,22581
234,docker,1,81468
237,singularity,16,5565
239,singularity,4,20637
242,docker,4,20616
252,native,4,23284
253,native,16,5901
255,docker,4,20612
258,singularity,1,81493
259,singularity,4,20547
261,docker,16,5602
266,singularity,16,5587
268,docker,1,81414
269,native,1,90000
