name,environment,parallelism,time
2,docker,8,11061
3,docker,1,85630
6,docker,4,21763
7,docker,16,6097
13,docker,1,85456
15,docker,8,11102
16,docker,4,21881
22,docker,16,5613
30,docker,16,6165
33,docker,8,11220
34,docker,4,21647
35,docker,1,85454
38,docker,8,11200
39,docker,1,85556
44,docker,4,21619
48,docker,16,5928
50,docker,4,21608
54,docker,16,6159
56,docker,8,11016
59,docker,1,85458
62,docker,4,21889
64,docker,8,11012
70,docker,1,85821
72,docker,16,5840
76,docker,8,11216
77,docker,1,85477
78,docker,16,5865
83,docker,4,21609
87,docker,8,11125
89,docker,4,21771
90,docker,1,85623
94,docker,16,6210
97,docker,16,5993
99,docker,4,21784
101,docker,1,85469
108,docker,8,11211
115,docker,4,21606
116,docker,8,11059
119,docker,1,85453
120,docker,16,5954
121,docker,8,11114
123,docker,1,85484
130,docker,4,21762
131,docker,16,6147
133,docker,8,11168
138,docker,1,85473
140,docker,16,6165
141,docker,4,21691
145,docker,8,11018
152,docker,4,21750
155,docker,16,6075
156,docker,1,85468
157,docker,16,6096
158,docker,4,21681
165,docker,1,85443
166,docker,8,11201
169,docker,1,86009
170,docker,8,11019
173,docker,4,21878
180,docker,16,5869
182,docker,16,6275
183,docker,8,11122
184,docker,1,86330
187,docker,4,21607
194,docker,16,5745
196,docker,4,21698
201,docker,8,11104
203,docker,1,85477
205,docker,4,21610
208,docker,8,11108
211,docker,1,85468
212,docker,16,5924
217,docker,1,86559
222,docker,8,11058
225,docker,4,21631
226,docker,16,5892
229,docker,16,6036
233,docker,8,10974
239,docker,4,21608
240,docker,1,85461
243,docker,16,6708
244,docker,8,11116
247,docker,1,85462
249,docker,4,22073
256,docker,4,21880
260,docker,1,86536
261,docker,8,11014
263,docker,16,6894
265,docker,1,85514
267,docker,4,21694
269,docker,16,6133
273,docker,8,11087
279,docker,8,11019
283,docker,16,6351
285,docker,1,85863
287,docker,4,21862
289,docker,16,5988
290,docker,1,85481
293,docker,8,11104
296,docker,4,21620
302,docker,1,85453
303,docker,8,11005
306,docker,16,5870
311,docker,4,21687
318,docker,16,5687
319,docker,1,86548
321,docker,4,21608
322,docker,8,11207
327,docker,1,85457
330,docker,8,11016
332,docker,4,21615
334,docker,16,6170
337,docker,16,6244
343,docker,1,85478
347,docker,8,11095
348,docker,4,21686
349,docker,16,6206
355,docker,8,11223
358,docker,1,85451
359,docker,4,21865
1,native,4,21990
4,native,8,10862
5,singularity,4,21652
8,singularity,16,7262
9,native,1,85486
10,native,16,5679
11,singularity,1,86522
12,singularity,8,11209
14,singularity,1,86073
17,native,4,21505
18,native,16,5549
19,native,1,85349
20,singularity,4,21903
21,singularity,8,11219
23,singularity,16,6085
24,native,8,10862
25,singularity,8,11113
26,native,8,11099
27,singularity,1,85507
28,singularity,16,6139
29,native,1,85385
31,singularity,4,22150
32,native,4,21509
36,native,16,5612
37,native,4,21552
40,native,1,85451
41,singularity,8,11316
42,native,8,10991
43,native,16,5610
45,singularity,1,85499
46,singularity,16,6088
47,singularity,4,21645
49,singularity,1,85519
51,singularity,4,22131
52,native,4,21990
53,singularity,8,11103
55,native,1,85334
57,native,16,5615
58,native,8,10999
60,singularity,16,6128
61,singularity,4,21639
63,singularity,16,6131
65,native,16,5616
66,native,8,10909
67,native,4,21596
68,singularity,1,86134
69,singularity,8,11325
71,native,1,85760
73,singularity,4,21657
74,singularity,8,11338
75,singularity,16,6103
79,native,1,85366
80,native,4,21992
81,native,8,10948
82,native,16,5610
84,singularity,1,85515
85,native,1,85369
86,singularity,8,11247
88,singularity,16,6112
91,singularity,4,21644
92,native,4,21507
93,native,8,10998
95,native,16,5664
96,singularity,1,85523
98,singularity,8,11207
100,native,4,21992
102,singularity,16,6191
103,singularity,1,85515
104,native,8,10899
105,native,1,85382
106,native,16,5607
107,singularity,4,21690
109,singularity,4,21649
110,native,16,5599
111,singularity,8,11216
112,native,8,11102
113,native,1,85373
114,singularity,16,6142
117,native,4,21785
118,singularity,1,86657
122,native,1,87320
124,singularity,4,21714
125,native,4,21767
126,native,16,5668
127,singularity,16,6114
128,singularity,8,11329
129,native,8,11105
132,singularity,1,85912
134,singularity,4,21708
135,native,1,85490
136,native,8,11005
137,native,4,21506
139,singularity,8,11306
142,native,16,5629
143,singularity,16,6159
144,singularity,1,85521
146,native,8,11097
147,singularity,1,86665
148,singularity,4,21663
149,native,16,5595
150,singularity,16,6144
151,native,4,21510
153,singularity,8,11105
154,native,1,85544
159,native,1,85391
160,singularity,8,11236
161,native,4,21599
162,native,16,5678
163,singularity,16,6023
164,native,8,11180
167,singularity,1,85520
168,singularity,4,21741
171,native,4,21508
172,native,16,5578
174,singularity,16,6105
175,singularity,4,21926
176,singularity,8,11208
177,singularity,1,85520
178,native,1,86271
179,native,8,10988
181,native,16,5591
185,native,1,85377
186,singularity,16,6068
188,singularity,4,22130
189,native,4,21501
190,singularity,1,85575
191,singularity,8,11267
192,native,8,10879
193,native,1,85382
195,native,16,5678
197,native,8,11104
198,singularity,8,11236
199,singularity,16,6088
200,native,4,21505
202,singularity,1,86609
204,singularity,4,21939
206,singularity,1,85480
207,native,1,85386
209,singularity,16,6105
210,native,16,5667
213,singularity,4,21662
214,singularity,8,11200
215,native,4,21886
216,native,8,10987
218,native,1,85363
219,singularity,8,11218
220,native,8,10893
221,singularity,1,85526
223,native,16,5579
224,singularity,4,21646
227,native,4,21785
228,singularity,16,6167
230,singularity,4,21929
231,native,8,10942
232,native,4,21504
234,native,1,87287
235,singularity,16,6183
236,singularity,8,11316
237,native,16,5657
238,singularity,1,85533
241,native,8,10861
242,singularity,8,11141
245,native,1,85673
246,singularity,1,85557
248,singularity,16,6146
250,native,16,5671
251,native,4,21786
252,singularity,4,21661
253,singularity,1,85679
254,native,16,5673
255,singularity,8,11349
257,native,4,21987
258,native,1,85364
259,singularity,4,21915
262,native,8,10909
264,singularity,16,6177
266,native,4,21674
268,singularity,16,6155
270,native,8,11096
271,native,16,5562
272,singularity,8,11120
274,singularity,4,21672
275,native,1,85377
276,singularity,1,86229
277,singularity,8,11131
278,native,16,5591
280,singularity,1,85531
281,singularity,16,6115
282,native,1,85955
284,native,4,21504
286,native,8,10878
288,singularity,4,21683
291,native,8,11094
292,singularity,1,85504
294,singularity,8,11167
295,singularity,16,6085
297,native,16,5633
298,native,4,21504
299,singularity,4,21792
300,native,1,86083
301,singularity,16,6065
304,native,8,10996
305,singularity,8,11369
307,singularity,4,21659
308,native,4,21510
309,singularity,1,85555
310,native,1,85378
312,native,16,5624
313,singularity,16,6067
314,singularity,8,11349
315,native,16,5613
316,singularity,1,86652
317,native,1,85370
320,native,8,10892
323,native,4,21501
324,singularity,4,21645
325,singularity,16,6192
326,native,4,21504
328,singularity,1,85521
329,native,16,5684
331,singularity,8,11094
333,singularity,4,22155
335,native,8,10958
336,native,1,85381
338,singularity,1,85530
339,native,16,5682
340,native,1,85397
341,singularity,4,21820
342,native,8,11000
344,singularity,8,11178
345,singularity,16,6102
346,native,4,21511
350,native,1,85372
351,singularity,1,85501
352,singularity,8,11067
353,singularity,16,6052
354,native,16,5684
356,singularity,4,21649
357,native,8,11000
360,native,4,21674
