name,environment,parallelism,time
5,native,8,98711
8,singularity,8,94704
23,docker,8,177005
41,singularity,8,94807
42,native,8,98585
45,docker,8,177907
64,singularity,8,94900
71,native,8,98641
74,docker,8,175830
87,native,8,98560
91,docker,8,176408
100,singularity,8,95135
115,docker,8,175926
125,native,8,97818
131,singularity,8,94784
140,docker,8,174879
146,singularity,8,95005
150,native,8,98270
163,native,8,98900
174,singularity,8,94568
189,docker,8,175622
201,docker,8,175600
214,native,8,98566
215,singularity,8,94965
231,native,8,98849
239,singularity,8,94924
242,docker,8,177411
252,native,8,98148
255,docker,8,176343
259,singularity,8,95046
4,docker,16,118578
5,native,4,165994
8,singularity,4,159670
22,native,16,52425
23,docker,4,184784
25,singularity,16,50323
34,docker,16,128234
38,native,16,52321
41,singularity,4,158772
42,native,4,165776
45,docker,4,184343
51,singularity,16,50306
58,native,16,52333
62,singularity,16,50491
64,singularity,4,158960
71,native,4,165685
74,docker,4,185543
76,docker,16,118443
87,native,4,165928
91,docker,4,184786
95,native,16,52466
98,singularity,16,50081
100,singularity,4,159187
101,docker,16,123888
112,singularity,16,49687
115,docker,4,184372
117,docker,16,119788
125,native,4,166563
126,native,16,52082
131,singularity,4,159343
140,docker,4,185452
143,native,16,52317
146,singularity,4,159126
150,native,4,166264
151,docker,16,122703
154,singularity,16,50238
163,native,4,165728
167,docker,16,117992
173,singularity,16,50381
174,singularity,4,158996
178,native,16,51891
189,docker,4,184827
198,singularity,16,49632
199,docker,16,125594
201,docker,4,184866
213,native,16,51576
214,native,4,165930
215,singularity,4,159308
220,docker,16,138145
222,native,16,52323
231,native,4,166056
237,singularity,16,51141
239,singularity,4,159294
242,docker,4,184821
252,native,4,166162
253,native,16,51808
255,docker,4,185812
259,singularity,4,159009
261,docker,16,123101
266,singularity,16,50393
16,singularity,1,604334
19,docker,1,605020
27,native,1,626924
30,native,1,626807
40,singularity,1,604669
52,docker,1,605347
59,native,1,625904
68,singularity,1,605065
73,docker,1,602680
84,native,1,627318
99,docker,1,604122
107,singularity,1,604443
119,docker,1,603980
129,singularity,1,604243
130,native,1,626462
155,singularity,1,602926
161,native,1,624627
162,docker,1,604441
165,singularity,1,603666
177,native,1,626960
186,docker,1,603980
193,singularity,1,604701
203,native,1,626915
205,docker,1,603919
221,singularity,1,604333
230,native,1,626754
234,docker,1,603144
