size,time,environment
1,0.51164627,docker
1,0.56362152,docker
1,0.41675568,docker
1,0.54597855,docker
1,0.50044060,docker
1,0.57744980,docker
1,0.46706200,docker
1,0.54883957,docker
1,0.44941902,docker
1,0.54931641,docker
1,0.47302246,docker
1,0.55313110,docker
1,0.47802925,docker
1,0.59485435,docker
1,0.44417381,docker
1,0.58794022,docker
1,0.45132637,docker
1,0.58245659,docker
1,0.44250488,docker
1,0.59890747,docker
2,0.47516823,docker
2,0.56171417,docker
2,0.45156479,docker
2,0.54788589,docker
2,0.45847893,docker
2,0.53358078,docker
2,0.47183037,docker
2,0.56147575,docker
2,0.47135353,docker
2,0.57578087,docker
2,0.45776367,docker
2,0.57458878,docker
2,0.44322014,docker
2,0.59318542,docker
2,0.42009354,docker
2,0.56266785,docker
2,0.43225288,docker
2,0.53644180,docker
2,0.48804283,docker
2,0.56171417,docker
4,0.46372414,docker
4,0.55861473,docker
4,0.45156479,docker
4,0.59771538,docker
4,0.42200089,docker
4,0.54168701,docker
4,0.47159195,docker
4,0.54693222,docker
4,0.46014786,docker
4,0.61058998,docker
4,0.45895576,docker
4,0.58913231,docker
4,0.44393539,docker
4,0.58579445,docker
4,0.45156479,docker
4,0.57911873,docker
4,0.44393539,docker
4,0.58364868,docker
4,0.46968460,docker
4,0.58960915,docker
8,0.46753883,docker
8,0.54240227,docker
8,0.45824051,docker
8,0.53238869,docker
8,0.47159195,docker
8,0.56076050,docker
8,0.46920776,docker
8,0.58603287,docker
8,0.44822693,docker
8,0.58603287,docker
8,0.45585632,docker
8,0.58698654,docker
8,0.44751167,docker
8,0.59151649,docker
8,0.45704842,docker
8,0.58817863,docker
8,0.45943260,docker
8,0.56385994,docker
8,0.45537949,docker
8,0.50806999,docker
16,0.47183037,docker
16,0.59533119,docker
16,0.44822693,docker
16,0.60987473,docker
16,0.45299530,docker
16,0.59390068,docker
16,0.42819977,docker
16,0.54025650,docker
16,0.48232079,docker
16,0.59103966,docker
16,0.43129921,docker
16,0.57601929,docker
16,0.45895576,docker
16,0.56529045,docker
16,0.46539307,docker
16,0.56171417,docker
16,0.46730042,docker
16,0.58364868,docker
16,0.46181679,docker
16,0.57077408,docker
32,0.44918060,docker
32,0.55503845,docker
32,0.45299530,docker
32,0.55527687,docker
32,0.47039986,docker
32,0.53763390,docker
32,0.47612190,docker
32,0.54574013,docker
32,0.46229362,docker
32,0.61869621,docker
32,0.42152405,docker
32,0.57578087,docker
32,0.47492981,docker
32,0.56862831,docker
32,0.42247772,docker
32,0.55360794,docker
32,0.42986870,docker
32,0.53787231,docker
32,0.49257278,docker
32,0.56743622,docker
64,0.47135353,docker
64,0.56648254,docker
64,0.46443939,docker
64,0.58507919,docker
64,0.44894218,docker
64,0.54621696,docker
64,0.49257278,docker
64,0.63657761,docker
64,0.46801567,docker
64,0.61368942,docker
64,0.46014786,docker
64,0.58245659,docker
64,0.45990944,docker
64,0.56695938,docker
64,0.47135353,docker
64,0.57554245,docker
64,0.40864944,docker
64,0.55599213,docker
64,0.44775009,docker
64,0.56123734,docker
128,0.47373772,docker
128,0.57959557,docker
128,0.40555000,docker
128,0.55313110,docker
128,0.48327446,docker
128,0.59175491,docker
128,0.43702126,docker
128,0.58937073,docker
128,0.46563148,docker
128,0.57482719,docker
128,0.48708916,docker
128,0.57435036,docker
128,0.46277046,docker
128,0.55599213,docker
128,0.46491623,docker
128,0.53715706,docker
128,0.48065186,docker
128,0.55980682,docker
128,0.46563148,docker
128,0.60367584,docker
256,0.48208237,docker
256,0.61774254,docker
256,0.46730042,docker
256,0.57148933,docker
256,0.47802925,docker
256,0.58698654,docker
256,0.42557716,docker
256,0.55861473,docker
256,0.45776367,docker
256,0.62823296,docker
256,0.47898293,docker
256,0.63157082,docker
256,0.45657158,docker
256,0.60963631,docker
256,0.42653084,docker
256,0.57506561,docker
256,0.48661232,docker
256,0.55909157,docker
256,0.47636032,docker
256,0.56171417,docker
