name,run.no.in.std.order,run.no,run.no.std.rp,environment,sizeexp,Blocks,time
1,28,1,28.1,docker,9,.1,
2,37,2,37.1,docker,12,.1,
3,3,3,3.1,native,0,.1,
4,54,4,54.1,native,17,.1,
5,62,5,62.1,singularity,20,.1,
6,26,6,26.1,singularity,8,.1,
7,8,7,8.1,singularity,2,.1,
8,40,8,40.1,docker,13,.1,
9,32,9,32.1,singularity,10,.1,
10,9,10,9.1,native,2,.1,
11,42,11,42.1,native,13,.1,
12,63,12,63.1,native,20,.1,
13,4,13,4.1,docker,1,.1,
14,57,14,57.1,native,18,.1,
15,30,15,30.1,native,9,.1,
16,18,16,18.1,native,5,.1,
17,35,17,35.1,singularity,11,.1,
18,51,18,51.1,native,16,.1,
19,20,19,20.1,singularity,6,.1,
20,38,20,38.1,singularity,12,.1,
21,49,21,49.1,docker,16,.1,
22,46,22,46.1,docker,15,.1,
23,34,23,34.1,docker,11,.1,
24,27,24,27.1,native,8,.1,
25,25,25,25.1,docker,8,.1,
26,31,26,31.1,docker,10,.1,
27,5,27,5.1,singularity,1,.1,
28,41,28,41.1,singularity,13,.1,
29,12,29,12.1,native,3,.1,
30,50,30,50.1,singularity,16,.1,
31,58,31,58.1,docker,19,.1,
32,56,32,56.1,singularity,18,.1,
33,11,33,11.1,singularity,3,.1,
34,44,34,44.1,singularity,14,.1,
35,14,35,14.1,singularity,4,.1,
36,15,36,15.1,native,4,.1,
37,47,37,47.1,singularity,15,.1,
38,16,38,16.1,docker,5,.1,
39,2,39,2.1,singularity,0,.1,
40,7,40,7.1,docker,2,.1,
41,23,41,23.1,singularity,7,.1,
42,36,42,36.1,native,11,.1,
43,45,43,45.1,native,14,.1,
44,29,44,29.1,singularity,9,.1,
45,60,45,60.1,native,19,.1,
46,52,46,52.1,docker,17,.1,
47,10,47,10.1,docker,3,.1,
48,13,48,13.1,docker,4,.1,
49,39,49,39.1,native,12,.1,
50,59,50,59.1,singularity,19,.1,
51,6,51,6.1,native,1,.1,
52,22,52,22.1,docker,7,.1,
53,43,53,43.1,docker,14,.1,
54,55,54,55.1,docker,18,.1,
55,53,55,53.1,singularity,17,.1,
56,17,56,17.1,singularity,5,.1,
57,61,57,61.1,docker,20,.1,
58,33,58,33.1,native,10,.1,
59,48,59,48.1,native,15,.1,
60,21,60,21.1,native,6,.1,
61,19,61,19.1,docker,6,.1,
62,1,62,1.1,docker,0,.1,
63,24,63,24.1,native,7,.1,
64,47,64,47.2,singularity,15,.2,
65,36,65,36.2,native,11,.2,
66,60,66,60.2,native,19,.2,
67,53,67,53.2,singularity,17,.2,
68,20,68,20.2,singularity,6,.2,
69,23,69,23.2,singularity,7,.2,
70,11,70,11.2,singularity,3,.2,
71,21,71,21.2,native,6,.2,
72,13,72,13.2,docker,4,.2,
73,58,73,58.2,docker,19,.2,
74,62,74,62.2,singularity,20,.2,
75,39,75,39.2,native,12,.2,
76,38,76,38.2,singularity,12,.2,
