name,environment,sizeexp,time
1,docker,9,0.64778328
2,docker,12,0.85043907
3,native,0,0.26679039
4,native,17,1.52873993
5,singularity,20,10.92815399
6,singularity,8,0.29730797
7,singularity,2,0.29897690
8,docker,13,0.04601479
9,singularity,10,0.49614906
10,native,2,0.25272369
11,native,13,0.41842461
12,native,20,11.32702827
13,docker,1,0.58341026
14,native,18,11.37232780
15,native,9,0.31423569
16,native,5,0.25439262
17,singularity,11,0.36573410
18,native,16,0.92935562
19,singularity,6,0.33926964
20,singularity,12,0.38719177
21,docker,16,0.14090538
22,docker,15,2.05278397
23,docker,11,0.80156326
24,native,8,14.35422897
25,docker,8,0.71954727
26,docker,10,0.67424774
27,singularity,1,0.43416023
28,singularity,13,0.40674210
29,native,3,0.28252602
30,singularity,16,3.39293480
31,docker,19,23.27632904
32,singularity,18,3.43775749
33,singularity,3,0.53429604
34,singularity,14,0.67067146
35,singularity,4,0.44941902
36,native,4,0.31352043
37,singularity,15,0.70333481
38,docker,5,0.62823296
39,singularity,0,0.30398369
40,docker,2,0.65732002
41,singularity,7,0.31256676
42,native,11,0.35548210
43,native,14,0.53548813
44,singularity,9,0.30326843
45,native,19,6.05583191
46,docker,17,7.16948509
47,docker,3,0.65660477
48,docker,4,0.68736076
49,native,12,0.38743019
50,singularity,19,6.42871857
51,native,1,0.31590462
52,docker,7,0.74148178
53,docker,14,1.61075592
54,docker,18,0.23722649
55,singularity,17,5.84363937
56,singularity,5,0.33879280
57,docker,20,52.20031738
58,native,10,0.40793419
59,native,15,0.65088272
60,native,6,0.25701523
61,docker,6,0.02956390
62,docker,0,0.02241135
63,native,7,0.44155121
64,singularity,15,0.68163872
65,native,11,0.37360191
66,native,19,5.94997406
67,singularity,17,1.63888931
68,singularity,6,0.44965744
69,singularity,7,0.29039383
70,singularity,3,0.47135353
71,native,6,0.27179718
72,docker,4,0.72932243
73,docker,19,25.72560310
74,singularity,20,11.53111458
75,native,12,0.37932396
76,singularity,12,0.43511391
77,singularity,1,0.42700768
78,docker,2,0.66804886
79,docker,7,0.03719330
80,native,17,2.02655792
81,docker,3,0.66542625
82,docker,11,0.03027916
83,singularity,5,0.45609474
84,native,2,0.27680397
85,native,18,3.49092484
86,docker,9,0.71930885
87,singularity,13,0.46563148
88,docker,10,0.78725815
89,native,5,0.29134750
90,native,0,0.31852722
91,docker,8,0.70023537
92,native,14,0.53405762
93,docker,13,1.24144554
94,singularity,0,0.31614304
95,singularity,4,0.53358078
96,docker,6,0.71120262
97,native,7,0.35643578
98,singularity,19,5.69796562
99,docker,14,1.81698799
100,docker,5,0.88071823
101,docker,12,1.07049942
102,native,10,0.27728081
103,docker,16,4.31466103
104,singularity,11,0.41985512
105,native,8,0.30303001
106,native,4,0.29349327
107,native,13,0.42271614
108,singularity,8,0.32997131
109,singularity,2,0.32448769
110,native,16,0.91981888
111,native,3,0.24056435
112,singularity,18,11.67154312
113,native,1,0.29683113
114,docker,15,0.07629395
115,singularity,14,0.54240227
116,docker,18,15.38062096
117,native,20,13.90981674
118,docker,1,0.02312660
119,docker,20,55.68575859
120,singularity,10,0.37264824
121,singularity,9,0.61035156
122,docker,0,0.72336197
123,singularity,16,1.32751465
124,native,15,0.68116188
125,docker,17,8.61978531
126,native,9,0.32281876
127,docker,9,0.84328651
128,docker,10,0.03290176
129,singularity,12,0.58436394
130,native,18,3.75914574
131,native,9,0.32448769
132,singularity,2,0.30231476
133,singularity,10,0.66041946
134,docker,7,0.81586838
135,singularity,4,0.45967102
136,docker,17,8.80789757
137,docker,12,0.04243851
138,docker,2,0.82921982
139,native,14,6.34145737
140,singularity,9,0.36478043
141,docker,20,59.99374390
142,docker,1,0.81801414
143,singularity,1,0.44560432
144,singularity,8,0.48589706
