size,time
1,0.29468536
1,0.31304359
1,0.27394295
1,0.35190582
1,0.32210350
1,0.28681755
1,0.27394295
1,0.42629242
1,0.20885468
1,0.33593178
1,0.29492378
1,0.30755997
1,0.27275085
1,0.34904480
1,0.27322769
1,0.39887428
1,0.27489662
1,0.42510033
1,0.24294853
1,0.37741661
2,0.29659271
2,0.29230118
2,0.32305717
2,0.29301643
2,0.27465820
2,0.37765503
2,0.25558472
2,0.31638145
2,0.29945374
2,0.30183792
2,0.31185150
2,0.30517578
2,0.27680397
2,0.38099289
2,0.28133392
2,0.30732155
2,0.26178360
2,0.29659271
2,0.27108192
2,0.35023689
4,0.24867058
4,0.35929680
4,0.26988983
4,0.37789345
4,0.25558472
4,0.34832954
4,0.28133392
4,0.38242340
4,0.26392937
4,0.30946732
4,0.22435188
4,0.33473969
4,0.27561188
4,0.28443336
4,0.32043457
4,0.28514862
4,0.26988983
4,0.37455559
4,0.25296211
4,0.31661987
8,0.28014183
8,0.30255318
8,0.27942657
8,0.35905838
8,0.22292137
8,0.33378601
8,0.29325485
8,0.29945374
8,0.27322769
8,0.35047531
8,0.26655197
8,0.28538704
8,0.27060509
8,0.35786629
8,0.26845932
8,0.37384033
8,0.26082993
8,0.31161308
8,0.22435188
8,0.31375885
16,0.29778481
16,0.30469894
16,0.27203560
16,0.37932396
16,0.31781197
16,0.38623810
16,0.26631355
16,0.36954880
16,0.26130676
16,0.30612946
16,0.29134750
16,0.30040741
16,0.26774406
16,0.34642220
16,0.32377243
16,0.28538704
16,0.31590462
16,0.38576126
16,0.26869774
16,0.38242340
32,0.26440620
32,0.35238266
32,0.26965141
32,0.35023689
32,0.27656555
32,0.29373169
32,0.27227402
32,0.35119057
32,0.27108192
32,0.34761429
32,0.28252602
32,0.32091141
32,0.26798248
32,0.37431717
32,0.26369095
32,0.30779839
32,0.22459030
32,0.33569336
32,0.22292137
32,0.31352043
64,0.30469894
64,0.28824806
64,0.27155876
64,0.30350685
64,0.26202202
64,0.31900406
64,0.22244453
64,0.32901764
64,0.29730797
64,0.30326843
64,0.31495094
64,0.30636787
64,0.27084351
64,0.37622452
64,0.26130676
